SAMPLE NUMBER:   18
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  aR     	  RV     	  RV'		  DAO     	  DAO'		
 46.69   	-79.04   	 40.18   	 101.73		  0.43   	   0.00		
 46.69   	-80.87   	 40.59   	  76.30		  0.43   	   0.00		
 46.39   	-82.70   	 40.90   	  55.95		  0.43   	   0.00		
 44.86   	-83.31   	 41.12   	  50.86		  0.43   	   0.00		
 42.11   	-82.70   	 41.32   	  40.69		  0.43   	   0.00		
 39.06   	-81.79   	 41.49   	  35.61		  0.43   	   0.00		
 36.62   	-81.48   	 41.63   	  40.69		  0.43   	   0.00		
 35.40   	-82.70   	 41.79   	  40.69		  0.43   	   0.00		
 34.79   	-85.14   	 41.95   	  45.78		  0.43   	   0.00		
 32.96   	-87.89   	 42.14   	  50.86		  0.43   	   0.00		
 29.30   	-89.42   	 42.34   	  50.86		  0.43   	   5.09		
 25.02   	-90.33   	 42.54   	  50.86		  0.45   	   0.00		
 20.75   	-90.33   	 42.75   	  55.95		  0.45   	   0.00		
 18.31   	-90.33   	 42.97   	  50.86		  0.45   	   0.00		
 18.31   	-90.33   	 43.17   	  50.86		  0.45   	   0.00		
 21.67   	-91.25   	 43.38   	  45.78		  0.45   	   0.00		
 29.30   	-94.60   	 43.56   	  40.69		  0.45   	   0.00		
 40.89   	-101.01   	 43.72   	  35.61		  0.45   	   0.00		
 53.71   	-108.95   	 43.87   	  25.43		  0.45   	   0.00		
 63.48   	-115.97   	 43.97   	  15.26		  0.45   	   0.00		
 66.83   	-119.63   	 44.03   	  10.17		  0.45   	   0.00		
 63.17   	-119.63   	 44.07   	   5.09		  0.45   	   0.00		
 54.93   	-116.58   	 44.09(S)	 -10.17		  0.45   	   0.00		
 45.17   	-111.69   	 44.05   	 -15.26		  0.45   	   0.00		
 35.71   	-104.37   	 43.99   	 -25.43		  0.45   	   0.00		
 26.25   	-94.91   	 43.89   	 -35.61		  0.45   	   0.00		
 18.01   	-83.92   	 43.74   	 -45.78		  0.45   	   0.00		
 12.82   	-73.85   	 43.56   	 -55.95		  0.45   	   0.00		
 13.12   	-66.83   	 43.34   	 -71.21		  0.45   	   0.00		
 18.01   	-63.17   	 43.05   	 -86.47		  0.45   	  -5.09		
 23.19   	-61.04   	 42.71   	-101.73		  0.43(D)	   0.00		
 23.50   	-57.37   	 42.30   	-116.99		  0.43   	   0.00		
 18.01   	-51.27   	 41.83   	-132.25		  0.43   	   0.00		
  9.16   	-43.33   	 41.30   	-152.59		  0.43   	   0.00		
  1.83   	-34.79   	 40.69   	-172.94		  0.43   	   0.00		
  0.61   	-28.38   	 40.00   	-193.29		  0.43   	   0.00		
  3.97   	-23.50   	 39.23   	-213.63		  0.43   	   5.09		
  8.54   	-20.75   	 38.37   	-233.98		  0.45   	   0.00		
 11.90   	-18.92   	 37.44   	-244.15		  0.45   	   0.00		
 13.43   	-18.62   	 36.46   	-264.50		  0.45   	   0.00		
 14.04   	-19.84   	 35.40   	-279.75		  0.45   	   0.00		
 15.26   	-22.58   	 34.28   	-284.84		  0.45   	   0.00		
 17.70   	-25.33   	 33.14   	-295.01		  0.45   	   0.00		
 19.84   	-26.86   	 31.96   	-305.19		  0.45   	   0.00		
 21.97   	-27.47   	 30.74   	-300.10		  0.45   	   0.00		
 22.89   	-26.55   	 29.54   	-310.27		  0.45   	   0.00		
 23.19   	-25.94   	 28.30   	-300.10		  0.45   	   0.00		
 22.89   	-25.63   	 27.10   	-305.19		  0.45   	   0.00		
 21.97   	-25.33   	 25.88   	-295.01		  0.45   	  -5.09		
 21.36   	-25.33   	 24.70   	-284.84		  0.43   	   0.00		
 20.14   	-25.63   	 23.56   	-279.75		  0.43   	   0.00		
 17.70   	-27.77   	 22.44   	-264.50		  0.43   	   0.00		
 12.82   	-33.87   	 21.38   	-249.24		  0.43   	   0.00		
  6.41   	-45.17   	 20.39   	-233.98		  0.43   	   0.00		
  2.75   	-63.48   	 19.45   	-213.63		  0.43   	   0.00		
  7.63   	-89.11   	 18.60   	-193.29		  0.43   	   0.00		
 25.63   	-119.63   	 17.82   	-167.85		  0.43   	   0.00		
 56.76   	-151.67   	 17.15   	-152.59		  0.43   	   0.00		
 95.83   	-179.44   	 16.54   	-122.07		  0.43   	   0.00		
131.23   	-190.73   	 16.05   	 -96.64		  0.43   	   0.00		
151.06(R)	-169.07   	 15.67   	-137.33		  0.43   	   0.00		
113.53   	 17.40   	 15.12   	 -30.52		  0.43   	   5.09		
 60.12   	160.52   	 14.99   	 -20.35		  0.45   	   0.00		
 -0.31   	288.09   	 14.91(E)	   0.00		  0.45   	   0.00		
-55.85   	364.99   	 14.91   	  15.26		  0.45   	   0.00		
-97.05   	377.20   	 14.97   	  25.43		  0.45   	   0.00		
-119.63   	339.36   	 15.08   	  35.61		  0.45   	   0.00		
-123.29   	280.76   	 15.22   	  45.78		  0.45   	   0.00		
-107.73   	224.00   	 15.40   	  50.86		  0.45   	   0.00		
-73.24   	173.65   	 15.61   	  61.04		  0.45   	   0.00		
-25.63   	122.99   	 15.85   	  66.12		  0.45   	   0.00		
 25.33   	 67.14   	 16.11   	  71.21		  0.45   	   0.00		
 69.27   	  8.54   	 16.40   	  71.21		  0.45   	   0.00		
 98.88   	-43.95   	 16.68   	  71.21		  0.45   	   0.00		
111.69   	-81.18   	 16.97   	  81.38		  0.45   	   0.00		
109.56   	-100.40   	 17.29   	  81.38		  0.45   	   0.00		
 96.74   	-103.76   	 17.62   	  86.47		  0.45   	   0.00		
 78.74   	-96.13   	 17.97   	  91.56		  0.45   	   0.00		
 60.73   	-82.70   	 18.33   	 101.73		  0.45   	  -5.09		
 47.00   	-70.19   	 18.74   	 111.90		  0.43(D)	   0.00		
 40.59   	-62.56   	 19.19   	 127.16		  0.43   	   0.00		
 40.59   	-61.65   	 19.69   	 147.51		  0.43   	   0.00		
 44.25   	-65.00   	 20.28   	 167.85		  0.43   	   0.00		
 47.61   	-68.36   	 20.96   	 193.29		  0.43   	   0.00		
 48.83   	-70.19   	 21.73   	 218.72		  0.43   	   0.00		
 48.22   	-70.50   	 22.60   	 244.15		  0.43   	   0.00		
 47.30   	-70.80   	 23.58   	 269.58		  0.43   	   0.00		
 46.69   	-71.72   	 24.66   	 295.01		  0.43   	   0.00		
 47.00   	-73.24   	 25.84   	 315.36		  0.43   	   0.00		
 47.61   	-74.16   	 27.10   	 325.53		  0.43   	   0.00		
 48.22   	-74.46   	 28.40   	 335.71		  0.43   	   0.00		
 48.22   	-74.46   	 29.75   	 330.62		  0.43   	   0.00		
 47.61   	-74.77   	 31.07   	 325.53		  0.43   	   5.09		
 45.47   	-74.16   	 32.37   	 310.27		  0.45   	   0.00		
 42.72   	-73.55   	 33.61   	 289.93		  0.45   	   0.00		
 39.98   	-72.33   	 34.77   	 264.50		  0.45   	   0.00		
 39.06   	-72.02   	 35.83   	 233.98		  0.45   	   0.00		
 39.67   	-72.63   	 36.76   	 198.37		  0.45   	   0.00		
 41.20   	-74.16   	 37.56   	 172.94		  0.45   	   0.00		
 41.50   	-75.38   	 38.25   	 142.42		  0.45   	   0.00		
 39.98   	-75.38   	 38.82   	 122.07		  0.45   	   0.00		
 36.93   	-74.77   	 39.31   	  96.64		  0.45   	   0.00		
 33.57   	-74.16   	 39.69   	  76.30		  0.45   	   0.00		
 30.21   	-73.55   	 40.00   	  71.21		  0.45   	   0.00		
 27.47   	-73.55   	 40.28   	  55.95		  0.45   	  -5.09		
 24.72   	-73.24   	 40.51   	  55.95		  0.43(D)	   5.09		
 21.97   	-73.55   	 40.73   	  50.86		  0.45   	   0.00		
 19.53   	-74.46   	 40.94   	  50.86		  0.45   	   0.00		
 17.40   	-75.99   	 41.14   	  55.95		  0.45   	   0.00		
 15.26   	-78.74   	 41.36   	  61.04		  0.45   	   0.00		
 13.12   	-81.18   	 41.61   	  61.04		  0.45   	   0.00		
 10.38   	-83.62   	 41.85   	  66.12		  0.45   	   0.00		
  7.93   	-85.45   	 42.12   	  66.12		  0.45   	   0.00		
  6.10   	-86.67   	 42.38   	  66.12		  0.45   	   0.00		
  5.49   	-87.89   	 42.64   	  66.12		  0.45   	   0.00		
  7.63   	-89.72   	 42.91   	  61.04		  0.45   	   0.00		
 13.12   	-93.08   	 43.15   	  61.04		  0.45   	   0.00		
 22.58   	-99.18   	 43.40   	  55.95		  0.45   	   0.00		
 34.79   	-106.51   	 43.62   	  45.78		  0.45   	   0.00		
 45.78   	-113.83   	 43.80   	  35.61		  0.45   	   0.00		
 51.27   	-118.71   	 43.95   	  30.52		  0.45   	   0.00		
 49.74   	-120.24   	 44.07   	  20.35		  0.45   	   0.00		
 42.42   	-118.10   	 44.15   	  10.17		  0.45   	   0.00		
 32.65   	-112.92   	 44.19(S)	   0.00		  0.45   	   0.00		
 22.89   	-104.68   	 44.19   	 -15.26		  0.45   	   0.00		
 14.04   	-94.30   	 44.13   	 -25.43		  0.45   	   0.00		
  6.41   	-82.40   	 44.03   	 -40.69		  0.45   	   0.00		
  1.53   	-71.72   	 43.87   	 -50.86		  0.45   	   0.00		
  1.53   	-64.09   	 43.66   	 -71.21		  0.45   	   0.00		
  5.80   	-60.12   	 43.38   	 -86.47		  0.45   	   0.00		
 10.68   	-57.37   	 43.03   	-101.73		  0.45   	   0.00		
 11.60   	-54.02   	 42.62   	-122.07		  0.45   	   0.00		
  7.02   	-47.91   	 42.14   	-142.42		  0.45   	  -5.09		
 -1.53   	-40.28   	 41.57   	-162.77		  0.43(D)	   0.00		
 -9.77   	-31.13   	 40.92   	-188.20		  0.43   	   0.00		
-13.43   	-22.89   	 40.16   	-208.54		  0.43   	   0.00		
-11.90   	-17.09   	 39.33   	-223.80		  0.43   	   0.00		
 -7.02   	-14.04   	 38.43   	-249.24		  0.43   	   0.00		
 -1.53   	-13.73   	 37.44   	-259.41		  0.43   	   0.00		
  2.75   	-15.26   	 36.40   	-274.67		  0.43   	   0.00		
  6.71   	-19.23   	 35.30   	-284.84		  0.43   	   0.00		
 10.38   	-23.19   	 34.16   	-295.01		  0.43   	   0.00		
 13.43   	-26.25   	 32.98   	-300.10		  0.43   	   0.00		
 15.56   	-27.16   	 31.78   	-300.10		  0.43   	   5.09		
 15.56   	-25.94   	 30.58   	-300.10		  0.45   	   0.00		
 14.34   	-23.50   	 29.38   	-300.10		  0.45   	   0.00		
 13.12   	-21.06   	 28.18   	-300.10		  0.45   	   0.00		
 12.82   	-19.53   	 26.98   	-289.93		  0.45   	   0.00		
 13.73   	-18.62   	 25.82   	-289.93		  0.45   	   0.00		
 14.65   	-18.62   	 24.66   	-274.67		  0.45   	   0.00		
 14.65   	-18.31   	 23.56   	-264.50		  0.45   	   0.00		
 12.21   	-18.92   	 22.50   	-254.32		  0.45   	   0.00		
  7.02   	-22.58   	 21.49   	-244.15		  0.45   	   0.00		
  0.61   	-32.35   	 20.51   	-223.80		  0.45   	   0.00		
 -3.36   	-49.44   	 19.61   	-203.46		  0.45   	   0.00		
  0.61   	-73.55   	 18.80   	-188.20		  0.45   	   0.00		
 17.09   	-102.84   	 18.05   	-172.94		  0.45   	   0.00		
 46.39   	-133.36   	 17.35   	-147.51		  0.45   	   0.00		
 84.53   	-159.61   	 16.76   	-127.16		  0.45   	   0.00		
120.24   	-171.20   	 16.26   	-106.82		  0.45   	  -5.09		
141.30   	-152.59   	 15.83   	-157.68		  0.43(D)	   0.00		
108.95   	 21.06   	 15.20   	 -50.86		  0.43   	   0.00		
 56.76   	159.61   	 14.99   	 -35.61		  0.43   	   0.00		
 -6.10   	289.92   	 14.85   	 -20.35		  0.43   	   5.09		
-68.05   	374.15   	 14.77   	  -5.09		  0.45   	   0.00		
-119.02   	395.81   	 14.75(E)	  10.17		  0.45   	   0.00		
-152.89   	364.07   	 14.79   	  15.26		  0.45   	   0.00		
-167.54(R)	306.40   	 14.85   	  25.43		  0.45   	   0.00		
-163.88   	248.41   	 14.95   	  35.61		  0.45   	   0.00		
-141.60   	199.58   	 15.10   	  35.61		  0.45   	   5.09		
-103.45   	155.33   	 15.24   	  45.78		  0.47   	   0.00		
-56.15   	108.95   	 15.42   	  50.86		  0.47   	  -5.09		
-10.07   	 59.81   	 15.63   	  50.86		  0.45   	   0.00		
 24.72   	 14.95   	 15.83   	  55.95		  0.45   	   0.00		
 42.72   	-18.31   	 16.05   	  55.95		  0.45   	   0.00		
 46.39   	-37.23   	 16.28   	  55.95		  0.45   	  -5.09		
 42.72   	-45.17   	 16.50   	  66.12		  0.43   	   0.00		
 38.45   	-46.08   	 16.76   	  61.04		  0.43   	   0.00		
 38.15   	-44.86   	 17.01   	  76.30		  0.43   	   0.00		
 41.20   	-44.86   	 17.31   	  76.30		  0.43   	   5.09		
 44.86   	-46.08   	 17.62   	  91.56		  0.45   	   0.00		
 46.69   	-47.91   	 17.99   	 106.82		  0.45   	   5.09		
 45.17   	-48.52   	 18.41   	 127.16		  0.47   	   0.00		
 42.11   	-47.61   	 18.92   	 147.51		  0.47   	   0.00		
 39.67   	-46.08   	 19.51   	 178.03		  0.47   	   5.09		
 39.67   	-46.08   	 20.22   	 208.54		  0.49   	   0.00		
 40.59   	-47.30   	 21.06   	 239.06		  0.49   	   0.00		
 39.98   	-48.52   	 22.01   	 269.58		  0.49   	  -5.09		
 36.62   	-47.91   	 23.09   	 289.93		  0.47   	   0.00		
 32.35   	-46.08   	 24.25   	 310.27		  0.47   	   0.00		
 29.60   	-44.86   	 25.49   	 325.53		  0.47   	  -5.09		
 28.99   	-45.47   	 26.80   	 325.53		  0.45   	   0.00		
 29.30   	-46.08   	 28.10   	 320.45		  0.45   	  -5.09		
 28.38   	-44.86   	 29.38   	 305.19		  0.43   	   0.00		
 26.55   	-42.11   	 30.60   	 279.75		  0.43   	   0.00		
 24.72   	-39.06   	 31.72   	 259.41		  0.43   	  -5.09		
 23.50   	-36.93   	 32.76   	 223.80		  0.41   	   0.00		
 22.89   	-36.32   	 33.65   	 193.29		  0.41   	   0.00		
 22.28   	-36.62   	 34.43   	 157.68		  0.41   	   0.00		
 21.36   	-36.93   	 35.06   	 127.16		  0.41   	   0.00		
 20.14   	-36.32   	 35.56   	  96.64		  0.41   	   0.00		
 18.01   	-34.48   	 35.95   	  76.30		  0.41   	   5.09		
 14.65   	-32.35   	 36.26   	  45.78		  0.43   	   0.00		
 10.07   	-29.60   	 36.44   	  35.61		  0.43   	   0.00		
  5.80   	-27.77   	 36.58   	  20.35		  0.43   	   0.00		
  3.97   	-28.38   	 36.66   	  15.26		  0.43   	   0.00		
  3.66   	-30.21   	 36.72   	  10.17		  0.43   	   5.09		
  3.66   	-32.65   	 36.76   	   5.09		  0.45   	   0.00		
  2.14   	-33.87   	 36.79   	  10.17		  0.45   	   0.00		
 -1.53   	-34.48   	 36.83   	  15.26		  0.45   	   0.00		
 -6.10   	-34.18   	 36.89   	  15.26		  0.45   	   0.00		
-10.07   	-34.18   	 36.95   	  15.26		  0.45   	   0.00		
-12.51   	-35.10   	 37.01   	  20.35		  0.45   	   0.00		
-13.12   	-36.93   	 37.09   	  25.43		  0.45   	   0.00		
-11.60   	-39.06   	 37.19   	  20.35		  0.45   	   0.00		
 -7.93   	-41.81   	 37.27   	  25.43		  0.45   	   0.00		
 -2.14   	-44.56   	 37.38   	  20.35		  0.45   	   0.00		
  5.19   	-46.69   	 37.46   	  15.26		  0.45   	   0.00		
 13.73   	-49.74   	 37.52   	  15.26		  0.45   	   0.00		
 22.28   	-53.41   	 37.58   	  10.17		  0.45   	  -5.09		
 28.38   	-57.68   	 37.62(S)	   0.00		  0.43   	   0.00		
 30.21   	-60.73   	 37.62   	 -10.17		  0.43   	   0.00		
 27.16   	-61.34   	 37.58   	 -10.17		  0.43   	   0.00		
 18.62   	-57.98   	 37.54   	 -25.43		  0.43   	   0.00		
  6.41   	-50.96   	 37.44   	 -35.61		  0.43   	   0.00		
 -7.93   	-40.59   	 37.29   	 -45.78		  0.43   	   0.00		
-21.67   	-27.77   	 37.11   	 -50.86		  0.43   	   0.00		
-31.13   	-14.95   	 36.91   	 -71.21		  0.43   	   0.00		
-33.87   	 -4.27   	 36.62   	 -81.38		  0.43   	   0.00		
-30.21   	  2.44   	 36.30   	 -96.64		  0.43   	   0.00		
-24.11   	  6.10   	 35.91   	-106.82		  0.43   	   0.00		
-21.67   	  8.85   	 35.48   	-127.16		  0.43   	   5.09		
-25.02   	 12.82   	 34.97   	-142.42		  0.45   	   0.00		
-32.04   	 18.92   	 34.40   	-157.68		  0.45   	   0.00		
-38.15   	 25.94   	 33.77   	-178.03		  0.45   	   0.00		
-38.76   	 31.74   	 33.06   	-193.29		  0.45   	   0.00		
-35.10   	 36.01   	 32.29   	-203.46		  0.45   	   0.00		
-29.30   	 39.67   	 31.47   	-223.80		  0.45   	   0.00		
-23.50   	 43.03   	 30.58   	-233.98		  0.45   	   0.00		
-17.40   	 46.08   	 29.64   	-249.24		  0.45   	   0.00		
 -8.85   	 45.78   	 28.65   	-259.41		  0.45   	   0.00		
  1.22   	 43.03   	 27.61   	-269.58		  0.45   	   0.00		
  9.77   	 39.98   	 26.53   	-279.75		  0.45   	   0.00		
 14.65   	 40.28   	 25.41   	-284.84		  0.45   	   0.00		
 17.09   	 44.25   	 24.27   	-300.10		  0.45   	   0.00		
 19.84   	 48.83   	 23.07   	-305.19		  0.45   	  -5.09		
 25.63   	 47.61   	 21.85   	-310.27		  0.43   	   0.00		
 33.57   	 38.76   	 20.61   	-315.36		  0.43   	   0.00		
 40.28   	 24.41   	 19.35   	-315.36		  0.43   	   0.00		
 43.33   	  9.46   	 18.09   	-310.27		  0.43   	   0.00		
 40.59   	 -0.61   	 16.85   	-300.10		  0.43   	   0.00		
 30.82   	 -3.97   	 15.65   	-284.84		  0.43   	   0.00		
 14.95   	 -3.05   	 14.51   	-259.41		  0.43   	   0.00		
 -6.41   	 -1.22   	 13.47   	-239.06		  0.43   	   0.00		
-28.08   	 -2.75   	 12.51   	-208.54		  0.43   	  -5.09		
-41.20   	-11.29   	 11.68   	-172.94		  0.41   	   0.00		
-38.45   	-27.47   	 10.99   	-137.33		  0.41   	   0.00		
-17.40   	-50.05   	 10.44   	-106.82		  0.41   	   5.09		
 18.92   	-73.85   	 10.01   	 -66.12		  0.43   	   0.00		
 58.90   	-87.89   	  9.75   	 -35.61		  0.43   	   0.00		
 89.72   	-75.99   	  9.60(D)	   0.00		  0.43   	   0.00		
100.71   	-22.89   	  9.60   	  25.43		  0.43   	   0.00		
 84.23   	 76.60   	  9.70   	  50.86		  0.43   	   0.00		
 41.81   	205.38   	  9.91   	  71.21		  0.43   	   5.09		
-18.01   	330.20   	 10.19   	  86.47		  0.45   	   0.00		
-83.92   	415.34   	 10.54   	 101.73		  0.45   	   0.00		
-144.04   	442.81   	 10.95   	 111.90		  0.45   	   0.00		
-188.29   	419.31   	 11.39   	 111.90		  0.45   	   0.00		
-211.79   	370.18   	 11.84   	 116.99		  0.45   	   0.00		
-213.62(R)	317.99   	 12.31   	 111.90		  0.45   	   0.00		
-194.40   	271.61   	 12.76   	 106.82		  0.45   	   0.00		
-158.08   	227.66   	 13.18   	 101.73		  0.45   	   0.00		
-114.75   	181.27   	 13.59   	  96.64		  0.45   	   0.00		
-74.16   	133.36   	 13.98   	  91.56		  0.45   	  -5.09		
-43.95   	 90.94   	 14.34   	  86.47		  0.43   	   0.00		
-25.94   	 57.68   	 14.69   	  81.38		  0.43   	   0.00		
-17.40   	 34.18   	 15.02   	  81.38		  0.43   	   0.00		
-14.04   	 17.40   	 15.34   	  76.30		  0.43   	   0.00		
-14.04   	  7.32   	 15.65   	  86.47		  0.43   	   0.00		
-16.78   	  4.58   	 15.99   	  91.56		  0.43   	   0.00		
-20.45   	  7.93   	 16.36   	 106.82		  0.43   	   0.00		
-23.50   	 13.43   	 16.79   	 111.90		  0.43   	   0.00		
-23.80   	 15.87   	 17.23   	 137.33		  0.43   	   0.00		
-21.97   	 14.04   	 17.78   	 147.51		  0.43   	   0.00		
-18.92   	 10.38   	 18.37   	 167.85		  0.43   	   0.00		
-17.09   	  8.85   	 19.04   	 183.11		  0.43   	   0.00		
-17.09   	 10.68   	 19.78   	 198.37		  0.43   	   5.09		
-19.84   	 14.95   	 20.57   	 213.63		  0.45   	   0.00		
-24.41   	 19.53   	 21.42   	 218.72		  0.45   	   0.00		
-29.30   	 21.97   	 22.30   	 233.98		  0.45   	   0.00		
-32.65   	 21.97   	 23.23   	 228.89		  0.45   	   0.00		
-32.65   	 20.14   	 24.15   	 233.98		  0.45   	   5.09		
-30.21   	 18.01   	 25.09   	 228.89		  0.47   	   0.00		
-27.16   	 16.78   	 26.00   	 218.72		  0.47   	   0.00		
-26.55   	 18.62   	 26.88   	 208.54		  0.47   	   0.00		
-28.69   	 22.58   	 27.71   	 198.37		  0.47   	   0.00		
-32.04   	 26.55   	 28.50   	 178.03		  0.47   	  -5.09		
-35.10   	 28.69   	 29.22   	 167.85		  0.45   	   0.00		
-36.62   	 28.38   	 29.89   	 142.42		  0.45   	   0.00		
-37.54   	 26.25   	 30.46   	 132.25		  0.45   	   0.00		
-38.45   	 24.72   	 30.99   	 111.90		  0.45   	   0.00		
-39.37   	 23.50   	 31.43   	 101.73		  0.45   	  -5.09		
-40.28   	 23.80   	 31.84   	  86.47		  0.43   	   0.00		
-40.28   	 23.50   	 32.19   	  76.30		  0.43   	   0.00		
-40.28   	 22.58   	 32.49   	  66.12		  0.43   	   0.00		
-40.89   	 20.75   	 32.76   	  66.12		  0.43   	   0.00		
-42.72   	 18.62   	 33.02   	  55.95		  0.43   	   0.00		
-45.78   	 16.48   	 33.25   	  55.95		  0.43   	   0.00		
-49.13   	 15.26   	 33.47   	  50.86		  0.43   	   0.00		
-51.88   	 15.26   	 33.67   	  55.95		  0.43   	   0.00		
-53.41   	 15.56   	 33.90   	  50.86		  0.43   	   0.00		
-54.02   	 15.87   	 34.10   	  55.95		  0.43   	   0.00		
-54.93   	 14.95   	 34.32   	  50.86		  0.43   	   5.09		
-55.54   	 12.21   	 34.53   	  55.95		  0.45   	   0.00		
-56.76   	  9.16   	 34.75   	  50.86		  0.45   	   0.00		
-57.37   	  6.41   	 34.95   	  50.86		  0.45   	   0.00		
-56.15   	  4.88   	 35.16   	  50.86		  0.45   	   0.00		
-51.88   	  4.58   	 35.36   	  40.69		  0.45   	   0.00		
-43.03   	  3.97   	 35.52   	  40.69		  0.45   	   5.09		
-30.21   	  0.92   	 35.69   	  30.52		  0.47   	   0.00		
-16.78   	 -4.58   	 35.81   	  25.43		  0.47   	   0.00		
 -7.02   	-11.29   	 35.91   	  15.26		  0.47   	   0.00		
 -5.49   	-15.56   	 35.97   	  10.17		  0.47   	   0.00		
-11.60   	-16.48   	 36.01(S)	  -5.09		  0.47   	  -5.09		
-21.97   	-12.51   	 35.99   	 -15.26		  0.45   	   0.00		
-32.65   	 -4.88   	 35.93   	 -25.43		  0.45   	   0.00		
-41.81   	  5.19   	 35.83   	 -35.61		  0.45   	   0.00		
-48.52   	 16.48   	 35.69   	 -50.86		  0.45   	   0.00		
-53.10   	 26.86   	 35.48   	 -61.04		  0.45   	   0.00		
-54.63   	 34.79   	 35.24   	 -76.30		  0.45   	   0.00		
-51.88   	 39.98   	 34.93   	 -91.56		  0.45   	   0.00		
-47.61   	 43.95   	 34.57   	-106.82		  0.45   	   0.00		
-46.69   	 50.05   	 34.14   	-122.07		  0.45   	  -5.09		
-51.27   	 60.12   	 33.65   	-137.33		  0.43   	   0.00		
-60.42   	 72.94   	 33.10   	-152.59		  0.43   	   0.00		
-68.66   	 85.14   	 32.49   	-167.85		  0.43   	   0.00		
-71.41   	 93.99   	 31.82   	-183.11		  0.43   	   0.00		
-68.36   	 98.27   	 31.09   	-193.29		  0.43   	   0.00		
-63.17   	 99.79   	 30.32   	-213.63		  0.43   	   0.00		
-60.12   	101.32   	 29.46   	-223.80		  0.43   	   0.00		
-59.51   	103.15   	 28.57   	-233.98		  0.43   	   5.09		
-59.81   	104.68   	 27.63   	-244.15		  0.45   	   0.00		
-58.90   	103.15   	 26.65   	-244.15		  0.45   	   0.00		
-56.76   	 99.49   	 25.68   	-254.32		  0.45   	   0.00		
-54.02   	 93.99   	 24.66   	-254.32		  0.45   	   0.00		
-52.19   	 90.33   	 23.64   	-254.32		  0.45   	   0.00		
-51.88   	 89.72   	 22.62   	-254.32		  0.45   	   0.00		
-51.88   	 91.55   	 21.61   	-249.24		  0.45   	   0.00		
-51.57   	 93.99   	 20.61   	-254.32		  0.45   	   0.00		
-50.35   	 95.52   	 19.59   	-249.24		  0.45   	   0.00		
-49.13   	 95.21   	 18.60   	-249.24		  0.45   	  -5.09		
-49.13   	 93.08   	 17.60   	-249.24		  0.43   	   0.00		
-50.96   	 89.42   	 16.60   	-239.06		  0.43   	   0.00		
-55.54   	 83.92   	 15.65   	-233.98		  0.43   	   0.00		
-61.65   	 74.77   	 14.71   	-223.80		  0.43   	   0.00		
-65.61   	 59.51   	 13.81   	-208.54		  0.43   	   0.00		
-63.17   	 38.15   	 12.98   	-188.20		  0.43   	   0.00		
-49.44   	 11.90   	 12.23   	-167.85		  0.43   	   0.00		
-22.58   	-15.87   	 11.56   	-137.33		  0.43   	   0.00		
 14.95   	-40.28   	 11.01   	-106.82		  0.43   	   0.00		
 54.02   	-51.57   	 10.58   	 -76.30		  0.43   	   5.09		
 84.23   	-36.32   	 10.27   	 -40.69		  0.45   	   0.00		
 80.26   	116.58   	 10.11(D)	  30.52		  0.45   	   0.00		
 40.59   	240.17   	 10.23   	  55.95		  0.45   	   0.00		
-16.48   	357.97   	 10.46   	  86.47		  0.45   	   0.00		
-79.96   	437.62   	 10.80   	 106.82		  0.45   	   0.00		
-138.24   	461.73   	 11.23   	 116.99		  0.45   	   0.00		
-180.97   	437.62   	 11.70   	 127.16		  0.45   	   0.00		
-202.03(R)	387.27   	 12.21   	 137.33		  0.45   	   0.00		
-201.11   	332.03   	 12.76   	 132.25		  0.45   	   0.00		
-179.44   	281.37   	 13.29   	 127.16		  0.45   	   0.00		
-142.82   	232.85   	 13.79   	 122.07		  0.45   	   0.00		
-99.79   	184.02   	 14.28   	 116.99		  0.45   	  -5.09		
-59.20   	136.72   	 14.75   	 111.90		  0.43   	   0.00		
-28.69   	 96.13   	 15.20   	 101.73		  0.43   	   0.00		
-11.29   	 65.61   	 15.61   	  96.64		  0.43   	   0.00		
 -4.58   	 43.64   	 15.99   	  96.64		  0.43   	   0.00		
 -3.66   	 26.86   	 16.38   	  96.64		  0.43   	   0.00		
 -3.66   	 13.73   	 16.76   	 101.73		  0.43   	   0.00		
 -3.05   	  4.88   	 17.17   	 111.90		  0.43   	   5.09		
 -1.53   	  0.61   	 17.62   	 127.16		  0.45   	   0.00		
  0.00   	  0.31   	 18.13   	 142.42		  0.45   	   0.00		
  1.22   	  0.00   	 18.70   	 157.68		  0.45   	   0.00		
  1.83   	 -1.53   	 19.33   	 183.11		  0.45   	   0.00		
  2.44   	 -4.27   	 20.06   	 198.37		  0.45   	  -5.09		
  3.97   	 -7.32   	 20.85   	 218.72		  0.43   	   0.00		
  5.80   	 -9.77   	 21.73   	 233.98		  0.43   	   0.00		
  7.63   	-10.99   	 22.67   	 244.15		  0.43   	   0.00		
  8.54   	-11.60   	 23.64   	 259.41		  0.43   	   0.00		
  8.85   	-11.90   	 24.68   	 264.50		  0.43   	   0.00		
  8.24   	-12.82   	 25.74   	 269.58		  0.43   	   0.00		
  7.32   	-14.04   	 26.82   	 269.58		  0.43   	   0.00		
  6.71   	-16.17   	 27.89   	 259.41		  0.43   	   0.00		
