SAMPLE NUMBER:   24
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RRA     	  RRA'		
 86.67   	 40.59   	  6.14   	   5.09		 53.39   	 -25.43		
 94.30   	 50.35   	  6.16   	  10.17		 53.29   	 -30.52		
100.40   	 49.44   	  6.21   	   0.00		 53.16   	 -30.52		
101.62   	 38.76   	  6.21   	   5.09		 53.04   	 -35.61		
 96.13   	 22.58   	  6.23   	   5.09		 52.90   	 -30.52		
 83.92   	  4.58   	  6.25   	   5.09		 52.78   	 -35.61		
 69.27   	-14.65   	  6.27   	   5.09		 52.63   	 -35.61		
 56.15   	-36.01   	  6.29   	  10.17		 52.49   	 -30.52		
 47.30   	-59.20   	  6.33   	   5.09		 52.37   	 -35.61		
 42.42   	-81.18   	  6.35   	  10.17		 52.23   	 -35.61		
 38.15   	-98.88   	  6.39   	  10.17		 52.09   	 -35.61		
 30.82   	-110.17   	  6.43   	  10.17		 51.94   	 -35.61		
 18.31   	-116.27   	  6.47   	  15.26		 51.80   	 -30.52		
  0.92   	-119.32   	  6.53   	  10.17		 51.68   	 -35.61		
-18.62   	-122.07   	  6.57   	  15.26		 51.54   	 -30.52		
-35.40   	-125.43   	  6.63   	  15.26		 51.41   	 -30.52		
-44.86   	-127.87   	  6.69   	  10.17		 51.29   	 -35.61		
-45.47   	-128.48   	  6.73   	  15.26		 51.15   	 -30.52		
-39.37   	-127.26   	  6.80   	  15.26		 51.03   	 -30.52		
-31.13   	-124.82   	  6.86   	  10.17		 50.91   	 -25.43		
-25.63   	-123.29   	  6.90   	  10.17		 50.80   	 -30.52		
-25.63   	-124.51   	  6.94   	  10.17		 50.68   	 -30.52		
-30.52   	-128.17   	  6.98   	  10.17		 50.56   	 -30.52		
-36.62   	-132.14   	  7.02   	  10.17		 50.44   	 -30.52		
-39.06   	-133.36   	  7.06   	   5.09		 50.32   	 -30.52		
-34.48   	-132.45   	  7.08   	   5.09		 50.19   	 -30.52		
-22.89   	-134.28   	  7.10   	  10.17		 50.07   	 -35.61		
 -4.88   	-138.85   	  7.14   	   0.00		 49.93   	 -25.43		
 21.36   	-133.97   	  7.14   	   5.09		 49.83   	 -30.52		
 61.34   	-96.74   	  7.16   	   5.09		 49.70   	 -30.52		
120.24   	 -2.75   	  7.18   	  10.17		 49.58   	 -30.52		
194.09   	159.91   	  7.22   	   5.09		 49.46   	 -25.43		
262.76   	389.10   	  7.24   	   5.09		 49.36   	 -25.43		
289.61   	664.37   	  7.26   	   5.09		 49.26   	 -25.43		
234.38   	934.75   	  7.28   	  20.35		 49.16   	 -50.86		
-142.21   	1083.37(R)	  7.37(E)	  10.17		 48.95   	 -20.35		
-363.46   	792.24   	  7.41   	  10.17		 48.87   	 -25.43		
-508.12   	286.56   	  7.45   	  15.26		 48.77   	 -25.43		
-542.30   	-274.35   	  7.51   	  10.17		 48.67   	 -20.35		
-495.30   	-702.51   	  7.55   	  15.26		 48.59   	 -25.43		
-430.91   	-895.39   	  7.61   	  10.17		 48.48   	 -25.43		
-393.68   	-881.65   	  7.65   	  15.26		 48.38   	 -25.43		
-381.47   	-770.26   	  7.71   	  20.35		 48.28   	 -25.43		
-359.50   	-654.91   	  7.79   	  15.26		 48.18   	 -30.52		
-301.21   	-560.91   	  7.85   	  15.26		 48.06   	 -25.43		
-212.40   	-463.87   	  7.91   	  20.35		 47.96   	 -25.43		
-122.38   	-343.63   	  8.00   	  25.43		 47.85   	 -25.43		
-56.15   	-215.15   	  8.10   	  25.43		 47.75   	 -30.52		
-19.53   	-113.22   	  8.20   	  30.52		 47.63   	 -25.43		
 -2.44   	-61.04   	  8.32   	  40.69		 47.53   	 -25.43		
  5.80   	-52.49   	  8.48   	  40.69		 47.43   	 -25.43		
 11.29   	-63.17   	  8.65   	  50.86		 47.32   	 -30.52		
 15.26   	-70.80   	  8.85   	  61.04		 47.20   	 -25.43		
 18.92   	-65.00   	  9.09   	  76.30		 47.10   	 -25.43		
 24.41   	-49.44   	  9.40   	  86.47		 47.00   	 -25.43		
 30.52   	-32.35   	  9.75   	 106.82		 46.90   	 -25.43		
 36.62   	-20.75   	 10.17   	 122.07		 46.80   	 -25.43		
 41.81   	-14.95   	 10.66   	 142.42		 46.69   	 -25.43		
 46.39   	-12.21   	 11.23   	 157.68		 46.59   	 -25.43		
 49.74   	-10.07   	 11.86   	 172.94		 46.49   	 -25.43		
 50.96   	 -7.93   	 12.55   	 193.29		 46.39   	 -25.43		
 49.44   	 -7.02   	 13.33   	 203.46		 46.29   	 -20.35		
 45.17   	 -7.93   	 14.14   	 218.72		 46.21   	 -25.43		
 40.28   	-10.07   	 15.02   	 228.89		 46.10   	 -25.43		
 37.84   	-11.29   	 15.93   	 239.06		 46.00   	 -25.43		
 39.37   	 -9.46   	 16.89   	 249.24		 45.90   	 -25.43		
 43.64   	 -4.88   	 17.88   	 249.24		 45.80   	 -20.35		
 48.22   	  0.61   	 18.88   	 254.32		 45.72   	 -25.43		
 51.57   	  6.41   	 19.90   	 254.32		 45.62   	 -25.43		
 53.41   	 12.21   	 20.92   	 254.32		 45.51   	 -25.43		
 55.54   	 18.62   	 21.93   	 249.24		 45.41   	 -25.43		
 58.59   	 26.25   	 22.93   	 249.24		 45.31   	 -25.43		
 62.87   	 34.79   	 23.93   	 244.15		 45.21   	 -30.52		
 67.14   	 44.25   	 24.90   	 239.06		 45.09   	 -25.43		
 70.80   	 54.32   	 25.86   	 233.98		 44.98   	 -25.43		
 72.94   	 64.39   	 26.80   	 228.89		 44.88   	 -25.43		
 73.24   	 72.63   	 27.71   	 223.80		 44.78   	 -30.52		
 72.63   	 77.51   	 28.61   	 218.72		 44.66   	 -25.43		
 71.41   	 78.13   	 29.48   	 208.54		 44.56   	 -25.43		
 71.41   	 76.90   	 30.32   	 203.46		 44.46   	 -25.43		
 74.46   	 78.43   	 31.13   	 198.37		 44.35   	 -20.35		
 79.65   	 84.23   	 31.92   	 183.11		 44.27   	 -25.43		
 84.53   	 93.38   	 32.66   	 178.03		 44.17   	 -20.35		
 86.98   	102.54   	 33.37   	 167.85		 44.09   	 -20.35		
 87.28   	109.86   	 34.04   	 162.77		 44.01   	 -20.35		
 86.67   	116.27   	 34.69   	 147.51		 43.93   	 -15.26		
 87.28   	122.99   	 35.28   	 137.33		 43.87   	 -10.17		
 90.33   	132.14   	 35.83   	 127.16		 43.82(D)	   0.00		
 95.52   	143.13   	 36.34   	 116.99		 43.82   	   5.09		
 99.49   	154.11   	 36.81   	 106.82		 43.85   	  15.26		
101.01   	164.49   	 37.23   	  96.64		 43.91   	  30.52		
101.32   	174.87   	 37.62   	  86.47		 44.03   	  45.78		
101.62   	186.16   	 37.97   	  76.30		 44.21   	  61.04		
103.45   	197.75   	 38.27   	  71.21		 44.46   	  81.38		
107.12   	209.35   	 38.56   	  61.04		 44.78   	 106.82		
110.17   	220.03   	 38.80   	  55.95		 45.21   	 122.07		
111.69   	230.10   	 39.02   	  45.78		 45.70   	 142.42		
111.69   	241.09   	 39.21   	  45.78		 46.27   	 167.85		
111.08   	253.91   	 39.39   	  35.61		 46.94   	 188.20		
112.00   	268.55   	 39.53   	  30.52		 47.69   	 208.54		
114.14   	283.51   	 39.65   	  30.52		 48.52   	 223.80		
116.88   	297.24   	 39.78   	  25.43		 49.42   	 239.06		
119.32   	308.53   	 39.88   	  20.35		 50.38   	 254.32		
120.85   	318.60   	 39.96   	  20.35		 51.39   	 264.50		
119.93   	328.06   	 40.04   	  20.35		 52.45   	 274.67		
116.27   	336.61   	 40.12   	  15.26		 53.55   	 279.75		
110.17   	342.71   	 40.18   	  10.17		 54.67   	 289.93		
103.15   	344.85   	 40.22   	  15.26		 55.83   	 284.84		
 96.74   	340.88   	 40.28   	  10.17		 56.97   	 289.93		
 91.86   	330.51   	 40.33   	   5.09		 58.13   	 289.93		
 88.20   	311.89   	 40.35   	  10.17		 59.29   	 289.93		
 83.01   	284.42   	 40.39   	   5.09		 60.45   	 279.75		
 74.46   	249.02   	 40.41   	   0.00		 61.57   	 279.75		
 63.17   	208.74   	 40.41   	   5.09		 62.69   	 269.58		
 50.35   	166.93   	 40.43(S)	   0.00		 63.76   	 264.50		
 38.76   	126.34   	 40.43   	   0.00		 64.82   	 254.32		
 28.38   	 87.59   	 40.43   	   0.00		 65.84   	 244.15		
 18.01   	 50.66   	 40.43   	  -5.09		 66.82   	 233.98		
  8.24   	 16.17   	 40.41   	   0.00		 67.75   	 218.72		
  0.61   	-12.82   	 40.41   	  -5.09		 68.63   	 208.54		
 -2.14   	-34.48   	 40.39   	 -10.17		 69.46   	 188.20		
 -0.61   	-48.52   	 40.35   	 -10.17		 70.21   	 178.03		
  0.61   	-59.20   	 40.31   	 -10.17		 70.93   	 157.68		
 -2.14   	-69.27   	 40.26   	 -15.26		 71.56   	 147.51		
 -9.77   	-81.18   	 40.20   	 -15.26		 72.15   	 127.16		
-18.31   	-93.69   	 40.14   	 -20.35		 72.65   	 106.82		
-21.67   	-104.37   	 40.06   	 -20.35		 73.08   	  96.64		
-18.62   	-111.69   	 39.98   	 -25.43		 73.47   	  76.30		
-13.12   	-116.27   	 39.88   	 -30.52		 73.77   	  61.04		
-11.29   	-119.93   	 39.76   	 -35.61		 74.02   	  50.86		
-14.95   	-123.90   	 39.61   	 -40.69		 74.22   	  30.52		
-21.67   	-128.17   	 39.45   	 -40.69		 74.34   	  20.35		
-28.08   	-132.75   	 39.29   	 -55.95		 74.42   	   5.09		
-31.43   	-137.33   	 39.06   	 -55.95		 74.45(S)	 -10.17		
-32.04   	-141.30   	 38.84   	 -71.21		 74.40   	 -15.26		
-30.82   	-142.21   	 38.56   	 -81.38		 74.34   	 -30.52		
-28.38   	-139.16   	 38.23   	 -96.64		 74.22   	 -40.69		
-25.94   	-133.97   	 37.84   	-106.82		 74.06   	 -45.78		
-25.02   	-129.70   	 37.42   	-127.16		 73.88   	 -55.95		
-25.94   	-128.48   	 36.91   	-147.51		 73.65   	 -61.04		
-27.16   	-129.39   	 36.32   	-162.77		 73.41   	 -71.21		
-25.94   	-128.78   	 35.67   	-188.20		 73.12   	 -76.30		
-22.58   	-124.51   	 34.91   	-208.54		 72.82   	 -81.38		
-18.92   	-118.41   	 34.08   	-228.89		 72.49   	 -86.47		
-17.09   	-113.22   	 33.16   	-254.32		 72.15   	 -91.56		
-17.09   	-110.47   	 32.15   	-269.58		 71.78   	 -91.56		
-17.09   	-108.95   	 31.07   	-284.84		 71.41   	-101.73		
-16.48   	-108.03   	 29.93   	-295.01		 71.01   	-101.73		
-16.78   	-107.42   	 28.75   	-305.19		 70.60   	-101.73		
-18.31   	-107.73   	 27.53   	-315.36		 70.19   	-111.90		
-19.53   	-107.12   	 26.27   	-320.45		 69.75   	-106.82		
-18.01   	-105.59   	 24.98   	-315.36		 69.32   	-116.99		
-13.73   	-103.45   	 23.72   	-320.45		 68.85   	-116.99		
 -9.46   	-102.23   	 22.44   	-310.27		 68.38   	-122.07		
 -7.63   	-102.54   	 21.20   	-305.19		 67.89   	-122.07		
 -8.54   	-102.84   	 19.98   	-300.10		 67.41   	-127.16		
 -9.46   	-101.32   	 18.78   	-289.93		 66.90   	-132.25		
 -8.54   	-98.88   	 17.62   	-279.75		 66.37   	-132.25		
 -5.80   	-97.05   	 16.50   	-269.58		 65.84   	-137.33		
 -2.14   	-95.83   	 15.42   	-254.32		 65.29   	-137.33		
  1.83   	-93.69   	 14.40   	-244.15		 64.74   	-142.42		
  5.19   	-89.72   	 13.43   	-233.98		 64.17   	-142.42		
  5.19   	-85.14   	 12.49   	-218.72		 63.60   	-142.42		
  0.00   	-83.92   	 11.62   	-208.54		 63.03   	-142.42		
 -8.85   	-87.28   	 10.78   	-193.29		 62.46   	-142.42		
-17.09   	-92.77   	 10.01   	-183.11		 61.89   	-142.42		
-19.53   	-96.13   	  9.28   	-167.85		 61.32   	-137.33		
-14.65   	-95.83   	  8.61   	-157.68		 60.77   	-137.33		
 -7.02   	-93.38   	  7.98   	-142.42		 60.22   	-137.33		
 -2.14   	-92.47   	  7.41   	-127.16		 59.67   	-127.16		
 -3.36   	-94.91   	  6.90   	-111.90		 59.17   	-127.16		
 -8.54   	-99.18   	  6.45   	 -96.64		 58.66   	-122.07		
-13.12   	-101.93   	  6.06   	 -86.47		 58.17   	-116.99		
-13.43   	-101.32   	  5.72   	 -76.30		 57.70   	-116.99		
-10.07   	-97.96   	  5.41   	 -61.04		 57.23   	-106.82		
 -6.10   	-93.38   	  5.17   	 -45.78		 56.81   	-101.73		
 -4.27   	-89.42   	  4.98   	 -35.61		 56.40   	 -96.64		
 -4.27   	-86.67   	  4.84   	 -25.43		 56.01   	 -86.47		
 -4.27   	-85.14   	  4.74   	 -20.35		 55.67   	 -86.47		
 -2.14   	-84.84   	  4.66   	  -5.09		 55.32   	 -71.21		
  0.00   	-86.67   	  4.64(D)	   0.00		 55.04   	 -71.21		
  0.00   	-90.94   	  4.64   	   5.09		 54.75   	 -61.04		
 -1.83   	-94.91   	  4.66   	  15.26		 54.51   	 -50.86		
 -4.27   	-96.44   	  4.72   	  15.26		 54.30   	 -45.78		
 -5.49   	-94.91   	  4.78   	  20.35		 54.12   	 -40.69		
 -4.58   	-92.47   	  4.86   	  25.43		 53.96   	 -30.52		
 -3.05   	-91.25   	  4.96   	  20.35		 53.83   	 -25.43		
 -2.75   	-91.55   	  5.05   	  25.43		 53.73   	 -20.35		
 -3.66   	-92.16   	  5.15   	  25.43		 53.65   	 -20.35		
 -5.49   	-90.33   	  5.25   	  20.35		 53.57   	 -10.17		
 -5.80   	-86.06   	  5.33   	  25.43		 53.53   	 -10.17		
 -3.66   	-80.57   	  5.43   	  15.26		 53.49   	  -5.09		
  0.31   	-76.90   	  5.49   	  20.35		 53.47   	  -5.09		
  3.66   	-76.29   	  5.57   	  10.17		 53.45   	  -5.09		
  4.27   	-78.74   	  5.62   	  10.17		 53.43   	   0.00		
  1.22   	-82.40   	  5.66   	  10.17		 53.43   	   0.00		
 -3.36   	-85.14   	  5.70   	   5.09		 53.43   	   5.09		
 -7.32   	-85.75   	  5.72   	   0.00		 53.45   	   0.00		
 -8.85   	-86.36   	  5.72   	   5.09		 53.45   	   5.09		
 -9.46   	-88.20   	  5.74   	   0.00		 53.47   	   5.09		
 -8.54   	-91.25   	  5.74   	   0.00		 53.49   	   5.09		
 -6.10   	-92.47   	  5.74   	   0.00		 53.51   	   5.09		
 -1.53   	-90.03   	  5.74   	   0.00		 53.53   	   5.09		
  3.05   	-85.45   	  5.74   	   0.00		 53.55   	   5.09		
  5.19   	-82.40   	  5.74   	   5.09		 53.57   	   5.09		
  2.44   	-84.84   	  5.76   	   5.09		 53.59   	   0.00		
 -3.36   	-91.86   	  5.78   	  10.17		 53.59   	   0.00		
 -8.24   	-97.96   	  5.82   	  10.17		 53.59   	   5.09		
 -7.93   	-97.66   	  5.86   	  15.26		 53.61   	  -5.09		
 -2.44   	-90.64   	  5.92   	  15.26		 53.59   	   0.00		
  5.19   	-79.04   	  5.98   	  15.26		 53.59   	  -5.09		
 11.90   	-66.53   	  6.04   	  15.26		 53.57   	 -10.17		
 18.01   	-55.24   	  6.10   	  20.35		 53.53   	 -10.17		
 25.33   	-44.56   	  6.19   	  20.35		 53.49   	 -10.17		
 37.23   	-31.74   	  6.27   	  15.26		 53.45   	 -10.17		
 54.02   	-14.04   	  6.33   	  20.35		 53.41   	 -15.26		
 71.11   	  8.24   	  6.41   	  20.35		 53.35   	 -15.26		
 84.53   	 31.74   	  6.49   	  15.26		 53.29   	 -20.35		
 93.38   	 50.66   	  6.55   	  15.26		 53.20   	 -20.35		
 98.88   	 60.12   	  6.61   	  15.26		 53.12   	 -20.35		
102.54   	 57.98   	  6.67   	  15.26		 53.04   	 -25.43		
103.45   	 45.78   	  6.73   	  15.26		 52.94   	 -20.35		
 98.57   	 29.60   	  6.80   	  15.26		 52.86   	 -30.52		
 86.36   	 11.90   	  6.86   	  10.17		 52.74   	 -25.43		
 68.97   	 -6.41   	  6.90   	  15.26		 52.63   	 -30.52		
 52.19   	-25.02   	  6.96   	  10.17		 52.51   	 -25.43		
 40.89   	-44.86   	  7.00   	  10.17		 52.41   	 -30.52		
 36.01   	-64.70   	  7.04   	  15.26		 52.29   	 -35.61		
 34.79   	-81.79   	  7.10   	  10.17		 52.15   	 -30.52		
 31.74   	-93.38   	  7.14   	  15.26		 52.02   	 -30.52		
 21.36   	-100.40   	  7.20   	  15.26		 51.90   	 -35.61		
  2.44   	-104.98   	  7.26   	  10.17		 51.76   	 -30.52		
-20.14   	-108.95   	  7.30   	  15.26		 51.64   	 -35.61		
-38.45   	-113.53   	  7.37   	  20.35		 51.50   	 -30.52		
-47.30   	-117.19   	  7.45   	  15.26		 51.37   	 -35.61		
-46.39   	-118.71   	  7.51   	  10.17		 51.23   	 -30.52		
-39.67   	-116.27   	  7.55   	  15.26		 51.11   	 -30.52		
-33.57   	-110.78   	  7.61   	  15.26		 50.99   	 -30.52		
-32.65   	-104.98   	  7.67   	  15.26		 50.86   	 -30.52		
-36.62   	-101.62   	  7.73   	  10.17		 50.74   	 -30.52		
-43.03   	-101.93   	  7.77   	  10.17		 50.62   	 -30.52		
-48.22   	-105.29   	  7.81   	  15.26		 50.50   	 -30.52		
-48.83   	-108.03   	  7.87   	   5.09		 50.38   	 -30.52		
-43.33   	-108.95   	  7.89   	  10.17		 50.25   	 -25.43		
-32.65   	-112.92   	  7.93   	  10.17		 50.15   	 -30.52		
-18.01   	-122.07   	  7.98   	   5.09		 50.03   	 -25.43		
  2.14   	-128.48   	  8.00   	  10.17		 49.93   	 -25.43		
 35.40   	-110.17   	  8.04   	   5.09		 49.83   	 -25.43		
 89.11   	-38.76   	  8.06   	  10.17		 49.73   	 -30.52		
163.57   	104.06   	  8.10   	  10.17		 49.60   	 -25.43		
242.61   	318.60   	  8.14   	   5.09		 49.50   	 -25.43		
290.53   	586.55   	  8.16   	  10.17		 49.40   	 -25.43		
263.98   	867.31   	  8.20   	   5.09		 49.30   	 -25.43		
137.63   	1085.51(R)	  8.22(E)	  20.35		 49.20   	 -50.86		
-295.10   	943.91   	  8.30   	  10.17		 48.99   	 -25.43		
-465.39   	505.68   	  8.34   	  15.26		 48.89   	 -25.43		
-535.89   	-57.07   	  8.40   	  10.17		 48.79   	 -25.43		
-519.10   	-555.42   	  8.44   	   5.09		 48.69   	 -25.43		
-466.92   	-843.51   	  8.46   	  10.17		 48.59   	 -25.43		
-425.72   	-897.83   	  8.50   	   5.09		 48.48   	 -25.43		
-404.97   	-806.58   	  8.52   	   5.09		 48.38   	 -30.52		
-382.39   	-681.46   	  8.55   	   5.09		 48.26   	 -25.43		
-330.20   	-576.17   	  8.57   	   0.00		 48.16   	 -25.43		
-245.36   	-479.13   	  8.57   	   0.00		 48.06   	 -25.43		
-151.67   	-363.77   	  8.57   	   0.00		 47.96   	 -25.43		
-76.60   	-232.54   	  8.57   	   5.09		 47.85   	 -25.43		
-34.18   	-117.80   	  8.59   	   5.09		 47.75   	 -25.43		
-18.62   	-50.35   	  8.61   	  10.17		 47.65   	 -30.52		
-14.34   	-30.82   	  8.65   	  15.26		 47.53   	 -25.43		
-10.68   	-36.62   	  8.71   	  25.43		 47.43   	 -30.52		
 -5.19   	-43.64   	  8.81   	  35.61		 47.30   	 -25.43		
  0.61   	-40.59   	  8.95   	  45.78		 47.20   	 -25.43		
  6.10   	-28.99   	  9.14   	  61.04		 47.10   	 -25.43		
 12.82   	-15.87   	  9.38   	  81.38		 47.00   	 -25.43		
 20.75   	 -6.71   	  9.70   	  91.56		 46.90   	 -20.35		
 28.08   	 -3.05   	 10.07   	 116.99		 46.82   	 -25.43		
 32.96   	 -2.75   	 10.54   	 132.25		 46.71   	 -25.43		
 33.87   	 -2.44   	 11.07   	 157.68		 46.61   	 -25.43		
 31.43   	 -0.92   	 11.70   	 167.85		 46.51   	 -20.35		
 27.77   	  2.44   	 12.37   	 188.20		 46.43   	 -25.43		
 24.11   	  5.80   	 13.12   	 203.46		 46.33   	 -25.43		
 22.28   	  9.77   	 13.94   	 213.63		 46.23   	 -25.43		
 23.80   	 14.95   	 14.79   	 223.80		 46.12   	 -25.43		
 28.99   	 21.67   	 15.69   	 239.06		 46.02   	 -25.43		
 36.32   	 28.08   	 16.64   	 239.06		 45.92   	 -25.43		
 42.11   	 32.65   	 17.60   	 249.24		 45.82   	 -20.35		
 43.33   	 34.18   	 18.60   	 249.24		 45.74   	 -25.43		
 39.37   	 32.65   	 19.59   	 249.24		 45.64   	 -25.43		
 34.18   	 30.52   	 20.59   	 249.24		 45.53   	 -30.52		
 32.96   	 31.43   	 21.59   	 249.24		 45.41   	 -25.43		
 37.84   	 38.15   	 22.58   	 249.24		 45.31   	 -25.43		
 46.08   	 48.83   	 23.58   	 239.06		 45.21   	 -25.43		
 51.88   	 59.51   	 24.54   	 239.06		 45.11   	 -25.43		
 50.66   	 67.14   	 25.49   	 233.98		 45.00   	 -25.43		
 45.78   	 72.02   	 26.43   	 223.80		 44.90   	 -30.52		
 43.64   	 77.51   	 27.32   	 218.72		 44.78   	 -25.43		
 48.22   	 84.84   	 28.20   	 213.63		 44.68   	 -25.43		
 56.15   	 92.47   	 29.05   	 208.54		 44.58   	 -25.43		
 61.95   	 98.27   	 29.89   	 193.29		 44.48   	 -25.43		
 63.17   	102.54   	 30.66   	 188.20		 44.37   	 -25.43		
 63.48   	108.64   	 31.41   	 178.03		 44.27   	 -25.43		
 66.83   	117.19   	 32.13   	 167.85		 44.17   	 -20.35		
 73.85   	126.65   	 32.80   	 157.68		 44.09   	 -15.26		
 80.26   	134.58   	 33.43   	 147.51		 44.03   	 -15.26		
 82.70   	140.08   	 34.02   	 137.33		 43.97   	 -10.17		
 82.40   	146.18   	 34.57   	 132.25		 43.93(D)	   0.00		
 82.70   	155.33   	 35.10   	 122.07		 43.93   	   5.09		
 85.75   	167.24   	 35.58   	 106.82		 43.95   	  20.35		
 90.94   	179.44   	 36.01   	 101.73		 44.03   	  30.52		
 97.05   	191.96   	 36.42   	  91.56		 44.15   	  50.86		
103.76   	205.69   	 36.79   	  86.47		 44.35   	  66.12		
109.25   	220.64   	 37.13   	  76.30		 44.62   	  86.47		
110.78   	233.76   	 37.44   	  66.12		 44.96   	 106.82		
108.34   	243.23   	 37.70   	  55.95		 45.39   	 127.16		
104.68   	250.55   	 37.92   	  55.95		 45.90   	 152.59		
104.68   	258.48   	 38.15   	  45.78		 46.51   	 172.94		
108.95   	269.17   	 38.33   	  35.61		 47.20   	 198.37		
114.75   	281.98   	 38.47   	  35.61		 48.00   	 213.63		
116.88   	294.19   	 38.62   	  30.52		 48.85   	 228.89		
113.83   	304.87   	 38.74   	  25.43		 49.77   	 249.24		
109.25   	316.16   	 38.84   	  20.35		 50.76   	 259.41		
106.51   	328.98   	 38.92   	  15.26		 51.80   	 274.67		
106.20   	341.49   	 38.98   	  15.26		 52.90   	 284.84		
105.90   	352.48   	 39.04   	  10.17		 54.04   	 284.84		
105.59   	360.41   	 39.08   	   5.09		 55.18   	 295.01		
105.59   	365.60   	 39.10   	  10.17		 56.36   	 300.10		
105.59   	366.21   	 39.15   	   0.00		 57.56   	 295.01		
103.76   	358.58   	 39.15   	   5.09		 58.74   	 295.01		
 98.27   	340.27   	 39.17   	   0.00		 59.92   	 295.01		
 88.81   	311.89   	 39.17   	   5.09		 61.10   	 289.93		
 77.82   	277.10   	 39.19(S)	   0.00		 62.26   	 279.75		
 67.75   	238.95   	 39.19   	  -5.09		 63.38   	 274.67		
 60.42   	200.50   	 39.17   	   0.00		 64.48   	 269.58		
 54.63   	163.27   	 39.17   	   0.00		 65.55   	 254.32		
 48.83   	126.65   	 39.17   	   0.00		 66.57   	 249.24		
 42.11   	 91.55   	 39.17   	  -5.09		 67.57   	 233.98		
 34.18   	 57.98   	 39.15   	   0.00		 68.50   	 223.80		
 24.72   	 27.16   	 39.15   	  -5.09		 69.40   	 208.54		
 13.73   	 -1.22   	 39.12   	 -10.17		 70.23   	 193.29		
  2.44   	-26.86   	 39.08   	  -5.09		 71.01   	 178.03		
 -6.41   	-48.22   	 39.06   	 -10.17		 71.72   	 162.77		
-10.68   	-64.70   	 39.02   	 -15.26		 72.37   	 142.42		
-10.68   	-76.29   	 38.96   	 -10.17		 72.94   	 132.25		
 -8.24   	-84.23   	 38.92   	 -20.35		 73.47   	 111.90		
 -7.32   	-90.64   	 38.84   	 -20.35		 73.92   	  96.64		
 -9.77   	-97.05   	 38.76   	 -25.43		 74.30   	  76.30		
-13.43   	-103.15   	 38.66   	 -30.52		 74.61   	  66.12		
-15.26   	-107.73   	 38.53   	 -30.52		 74.87   	  45.78		
-14.34   	-110.78   	 38.41   	 -35.61		 75.06   	  35.61		
-12.51   	-113.22   	 38.27   	 -40.69		 75.20   	  20.35		
-12.21   	-115.66   	 38.11   	 -50.86		 75.28   	   5.09		
-13.73   	-118.10   	 37.90   	 -55.95		 75.30(S)	  -5.09		
-15.87   	-119.32   	 37.68   	 -66.12		 75.28   	 -15.26		
-18.01   	-120.24   	 37.42   	 -76.30		 75.22   	 -30.52		
-19.84   	-122.07   	 37.11   	 -86.47		 75.10   	 -35.61		
-21.36   	-123.60   	 36.76   	-101.73		 74.95   	 -45.78		
-23.19   	-123.60   	 36.36   	-116.99		 74.77   	 -55.95		
-24.72   	-122.38   	 35.89   	-137.33		 74.55   	 -61.04		
-26.55   	-121.77   	 35.34   	-157.68		 74.30   	 -66.12		
-29.30   	-122.68   	 34.71   	-183.11		 74.04   	 -71.21		
-31.43   	-123.90   	 33.98   	-203.46		 73.75   	 -76.30		
-31.74   	-124.21   	 33.16   	-228.89		 73.45   	 -81.38		
-29.30   	-121.15   	 32.25   	-254.32		 73.12   	 -86.47		
-24.72   	-115.66   	 31.23   	-279.75		 72.78   	 -86.47		
-20.45   	-110.17   	 30.11   	-305.19		 72.43   	 -91.56		
-18.31   	-107.42   	 28.89   	-325.53		 72.06   	 -96.64		
-18.01   	-107.42   	 27.59   	-340.79		 71.68   	-101.73		
-18.92   	-108.95   	 26.23   	-350.97		 71.27   	-101.73		
-20.14   	-110.78   	 24.82   	-366.22		 70.86   	-106.82		
-20.45   	-111.39   	 23.36   	-371.31		 70.44   	-111.90		
-18.01   	-109.25   	 21.87   	-371.31		 69.99   	-111.90		
-12.21   	-104.37   	 20.39   	-366.22		 69.54   	-111.90		
 -4.88   	-99.18   	 18.92   	-361.14		 69.09   	-122.07		
  0.31   	-95.52   	 17.48   	-350.97		 68.61   	-122.07		
  2.14   	-93.69   	 16.07   	-335.71		 68.12   	-127.16		
  0.31   	-93.38   	 14.73   	-315.36		 67.61   	-127.16		
 -3.36   	-93.69   	 13.47   	-300.10		 67.10   	-137.33		
 -6.10   	-92.77   	 12.27   	-279.75		 66.55   	-132.25		
 -6.10   	-90.03   	 11.15   	-254.32		 66.02   	-142.42		
 -5.19   	-86.67   	 10.13   	-239.06		 65.45   	-137.33		
 -5.19   	-84.53   	  9.18   	-213.63		 64.90   	-142.42		
 -6.71   	-83.92   	  8.32   	-188.20		 64.33   	-142.42		
 -8.85   	-85.75   	  7.57   	-172.94		 63.76   	-142.42		
-10.99   	-88.50   	  6.88   	-152.59		 63.19   	-142.42		
-11.90   	-91.25   	  6.27   	-127.16		 62.62   	-137.33		
-11.60   	-93.08   	  5.76   	-116.99		 62.08   	-137.33		
-11.29   	-94.30   	  5.29   	 -96.64		 61.53   	-137.33		
-10.68   	-94.91   	  4.90   	 -81.38		 60.98   	-132.25		
