SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		  SVC     	  SVC'		
 78.13   	-51.57   	 50.17   	 310.27		 64.66   	 147.51		  1.55   	 -10.17		
 67.14   	-50.05   	 51.41   	 330.62		 65.25   	 132.25		  1.51   	  -5.09		
 56.76   	-50.35   	 52.74   	 320.45		 65.78   	 122.07		  1.49   	  -5.09		
 47.30   	-52.80   	 54.02   	 305.19		 66.27   	  96.64		  1.46   	  -5.09		
 38.45   	-57.98   	 55.24   	 279.75		 66.65   	  86.47		  1.44   	   0.00		
 29.91   	-66.22   	 56.36   	 239.06		 67.00   	  55.95		  1.44   	   0.00		
 21.67   	-77.51   	 57.31   	 193.29		 67.22   	  25.43		  1.44   	   0.00		
 14.34   	-91.55   	 58.09   	 152.59		 67.32(S)	   0.00		  1.44   	   0.00		
  8.85   	-106.20   	 58.70   	 116.99		 67.32   	 -25.43		  1.44   	   0.00		
  4.27   	-120.24   	 59.17   	  86.47		 67.22   	 -50.86		  1.44   	   5.09		
  0.61   	-132.75   	 59.51   	  76.30		 67.02   	 -71.21		  1.46   	   5.09		
 -3.36   	-143.43   	 59.82   	  71.21		 66.73   	 -91.56		  1.49   	   5.09		
 -7.93   	-152.89   	 60.10   	  76.30		 66.37   	-132.25		  1.51   	   5.09		
-12.51   	-161.74   	 60.41   	 101.73		 65.84   	-157.68		  1.53   	   5.09		
-16.17   	-169.68   	 60.81   	 122.07		 65.21   	-193.29		  1.55   	  10.17		
-18.62   	-177.00   	 61.30   	 152.59		 64.44   	-223.80		  1.59   	   5.09		
-19.23   	-183.11   	 61.91   	 183.11		 63.54   	-254.32		  1.61   	  10.17		
-19.53   	-187.68   	 62.64   	 203.46		 62.52   	-289.93		  1.65   	  10.17		
-19.84   	-190.73   	 63.46   	 223.80		 61.36   	-320.45		  1.69   	   5.09		
-20.14   	-192.26   	 64.35   	 228.89		 60.08   	-361.14		  1.71   	  10.17		
-20.14   	-191.96   	 65.27   	 223.80		 58.64   	-401.83		  1.75   	  10.17		
-19.84   	-189.51   	 66.16   	 203.46		 57.03   	-442.52		  1.79   	   5.09		
-19.53   	-185.24   	 66.98   	 188.20		 55.26   	-498.47		  1.81   	  15.26		
-19.84   	-179.14   	 67.73   	 162.77		 53.27   	-554.42		  1.87   	  10.17		
-20.14   	-170.90   	 68.38   	 127.16		 51.05   	-595.11		  1.91   	  10.17		
-21.06   	-161.44   	 68.89   	  96.64		 48.67   	-615.46		  1.95   	  20.35		
-21.67   	-151.37   	 69.28   	  66.12		 46.21   	-640.89		  2.03   	  20.35		
-21.67   	-141.60   	 69.54   	  35.61		 43.64   	-651.07		  2.12   	  20.35		
-21.06   	-131.84   	 69.68   	  20.35		 41.04   	-620.55		  2.20   	  25.43		
-19.53   	-122.68   	 69.77   	   5.09		 38.56   	-605.29		  2.30   	  25.43		
-17.40   	-113.53   	 69.79(S)	  -5.09		 36.13   	-579.86		  2.40   	  25.43		
-15.26   	-104.68   	 69.77   	   0.00		 33.81   	-523.90		  2.50   	  20.35		
-13.73   	-95.83   	 69.77   	  -5.09		 31.72   	-473.04		  2.58   	  15.26		
-13.43   	-87.28   	 69.75   	  -5.09		 29.83   	-432.35		  2.64   	  15.26		
-13.73   	-78.13   	 69.73   	   0.00		 28.10   	-401.83		  2.71   	  10.17		
-14.34   	-65.61   	 69.73   	  -5.09		 26.49   	-376.40		  2.75   	   5.09		
-14.95   	-46.08   	 69.70   	 -10.17		 24.98   	-371.31		  2.77   	   0.00		
-16.48   	-17.40   	 69.66   	 -20.35		 23.50   	-356.05		  2.77   	   0.00		
-18.62   	 18.31   	 69.58   	 -40.69		 22.08   	-340.79		  2.77   	   5.09		
-20.75   	 54.02   	 69.42   	 -50.86		 20.71   	-340.79		  2.79   	   0.00		
-21.36   	 82.70   	 69.22   	 -76.30		 19.35   	-350.97		  2.79   	  -5.09		
-18.92   	100.40   	 68.91   	 -91.56		 17.94   	-356.05		  2.77   	  -5.09		
-14.34   	111.39   	 68.55   	-116.99		 16.52   	-350.97		  2.75   	   0.00		
 -8.54   	123.29   	 68.08   	-127.16		 15.12   	-350.97		  2.75   	   0.00		
 -4.58   	141.91   	 67.57   	-147.51		 13.71   	-335.71		  2.75   	   0.00		
 -3.66   	166.32   	 66.98   	-188.20		 12.37   	-350.97		  2.75   	   0.00		
 -4.88   	200.81   	 66.23   	-188.20		 10.97   	-325.53		  2.75   	   5.09		
 -2.44   	192.87   	 65.47   	-188.20		  9.66   	-295.01		  2.77   	   0.00		
  3.97   	165.10   	 64.72   	-172.94		  8.48   	-264.50		  2.77   	   5.09		
 12.82   	121.77   	 64.03   	-167.85		  7.43   	-228.89		  2.79   	   0.00		
 21.36   	 71.41   	 63.36   	-147.51		  6.51   	-208.54		  2.79   	  -5.09		
 27.16   	 20.75   	 62.77   	-127.16		  5.68   	-193.29		  2.77   	   0.00		
 28.69   	-27.47   	 62.26   	-111.90		  4.90   	-157.68		  2.77   	   0.00		
 25.33   	-73.55   	 61.81   	 -96.64		  4.27   	-132.25		  2.77   	   0.00		
 17.09   	-118.41   	 61.42   	 -81.38		  3.74   	-111.90		  2.77   	   0.00		
  4.27   	-160.22   	 61.10   	 -71.21		  3.30   	 -86.47		  2.77   	   0.00		
-10.38   	-194.09   	 60.81   	 -61.04		  2.95   	 -71.21		  2.77   	   5.09		
-22.58   	-215.76   	 60.57   	 -55.95		  2.67   	 -45.78		  2.79   	   5.09		
-28.69   	-224.30   	 60.35   	 -55.95		  2.48   	 -20.35		  2.81   	  10.17		
-28.99   	-225.22   	 60.12   	 -61.04		  2.40   	 -15.26		  2.85   	  10.17		
-26.55   	-225.83   	 59.88   	 -71.21		  2.34   	  -5.09		  2.89   	  15.26		
-25.02   	-231.32   	 59.59   	 -76.30		  2.32   	   0.00		  2.95   	  20.35		
-26.25   	-240.78   	 59.29   	 -81.38		  2.32   	   0.00		  3.03   	  20.35		
-28.99   	-251.16   	 58.96   	 -96.64		  2.32   	   0.00		  3.11   	  20.35		
-31.43   	-259.09   	 58.58   	-101.73		  2.32   	   0.00		  3.19   	  20.35		
-32.04   	-263.98   	 58.17   	-106.82		  2.32   	  -5.09		  3.28   	  25.43		
-32.04   	-267.33   	 57.74   	-106.82		  2.30   	 -15.26		  3.38   	  25.43		
-32.35   	-270.69   	 57.31   	-106.82		  2.24   	 -20.35		  3.48   	  20.35		
-34.48   	-276.49   	 56.89   	 -96.64		  2.16   	 -35.61		  3.56   	  20.35		
-40.28   	-285.64   	 56.50   	 -96.64		  2.01   	 -35.61		  3.64   	  20.35		
-48.22   	-298.46   	 56.11   	 -86.47		  1.87   	 -61.04		  3.72   	  20.35		
-39.98   	-318.91   	 55.77   	 -81.38		  1.63   	 -76.30		  3.80   	  20.35		
 -5.19   	-305.48   	 55.44   	 -66.12		  1.32   	 -66.12		  3.89   	  15.26		
 50.96   	-261.84   	 55.18   	 -66.12		  1.06   	 -45.78		  3.95   	   5.09		
108.03   	-188.90   	 54.91   	 -55.95		  0.87   	 -25.43		  3.97   	   5.09		
125.12   	-103.76   	 54.69   	 -55.95		  0.77(D)	  15.26		  3.99   	   5.09		
 65.61   	-34.79   	 54.47   	 -55.95		  0.83   	  61.04		  4.01(A)	  -5.09		
-80.87   	 -3.97   	 54.24   	 -55.95		  1.08   	  91.56		  3.99   	 -15.26		
-291.14   	-18.92   	 54.02   	 -55.95		  1.44   	 142.42		  3.93   	 -15.26		
-511.78   	-78.13   	 53.79   	 -61.04		  2.01   	 172.94		  3.87   	 -25.43		
-686.04   	-177.61   	 53.55   	 -66.12		  2.71   	 188.20		  3.76   	 -20.35		
-780.94   	-313.72   	 53.29   	 -61.04		  3.46   	 188.20		  3.68   	 -20.35		
-796.51   	-471.50   	 53.04   	 -66.12		  4.21   	 162.77		  3.60   	 -20.35		
-747.99   	-617.98   	 52.78   	 -66.12		  4.86   	 132.25		  3.52   	 -20.35		
-652.77   	-711.98   	 52.51   	 -66.12		  5.39   	  86.47		  3.44   	 -20.35		
-525.21   	-727.84(R)	 52.25   	 -55.95		  5.74(E)	  40.69		  3.36   	 -15.26		
-376.28   	-669.86   	 52.02   	 -61.04		  5.90   	   0.00		  3.30   	 -20.35		
-222.47   	-563.05   	 51.78   	 -55.95		  5.90   	 -20.35		  3.21   	 -20.35		
-88.50   	-440.37   	 51.56   	 -45.78		  5.82   	 -15.26		  3.13   	 -25.43		
  3.66   	-328.06   	 51.37   	 -45.78		  5.76   	 -10.17		  3.03   	 -25.43		
 46.69   	-246.89   	 51.19   	 -45.78		  5.72   	  -5.09		  2.93   	 -35.61		
 50.66   	-208.74   	 51.01   	 -45.78		  5.70   	  20.35		  2.79   	 -30.52		
 37.84   	-208.74   	 50.82   	 -40.69		  5.78   	  50.86		  2.67   	 -30.52		
 28.08   	-224.91   	 50.66   	 -40.69		  5.98   	  81.38		  2.54   	 -30.52		
 30.82   	-231.63   	 50.50   	 -35.61		  6.31   	 137.33		  2.42   	 -30.52		
 41.81   	-217.29   	 50.36   	 -45.78		  6.86   	 361.14		  2.30   	 -35.61		
 57.07   	-162.05   	 50.17   	 -40.69		  8.30   	 442.52		  2.16   	 -30.52		
 57.07   	-146.18   	 50.01   	 -45.78		 10.07   	 508.65		  2.03   	 -15.26		
 56.15   	-138.55   	 49.83   	 -40.69		 12.11   	 503.56		  1.97   	 -15.26		
 56.76   	-130.31   	 49.66   	 -45.78		 14.12   	 452.69		  1.91   	  -5.09		
 59.51   	-118.10   	 49.48   	 -40.69		 15.93   	 422.18		  1.89   	  -5.09		
 62.56   	-102.84   	 49.32   	 -40.69		 17.62   	 422.18		  1.87   	   0.00		
 64.70   	-87.28   	 49.16   	 -45.78		 19.31   	 432.35		  1.87   	  -5.09		
 65.92   	-73.24   	 48.97   	 -40.69		 21.04   	 432.35		  1.85   	   0.00		
 66.53   	-59.81   	 48.81   	 -35.61		 22.77   	 452.69		  1.85   	   5.09		
 67.75   	-47.61   	 48.67   	 -40.69		 24.58   	 503.56		  1.87   	   0.00		
 69.89   	-36.01   	 48.50   	 -35.61		 26.59   	 539.16		  1.87   	   5.09		
 72.63   	-25.63   	 48.36   	 -35.61		 28.75   	 569.68		  1.89   	  -5.09		
 75.38   	-16.78   	 48.22   	 -30.52		 31.03   	 600.20		  1.87   	  -5.09		
 78.13   	-10.07   	 48.10   	 -30.52		 33.43   	 605.29		  1.85   	   0.00		
 80.26   	 -4.88   	 47.98   	 -35.61		 35.85   	 579.86		  1.85   	   0.00		
 82.09   	 -0.61   	 47.83   	 -30.52		 38.17   	 549.34		  1.85   	  -5.09		
 84.23   	  3.05   	 47.71   	 -30.52		 40.37   	 503.56		  1.83   	   0.00		
 86.67   	  6.41   	 47.59   	 -30.52		 42.38   	 447.61		  1.83   	   0.00		
 89.42   	  8.24   	 47.47   	 -30.52		 44.17   	 386.57		  1.83   	  -5.09		
 92.16   	  7.93   	 47.34   	 -30.52		 45.72   	 330.62		  1.81   	  -5.09		
 95.21   	  6.10   	 47.22   	 -35.61		 47.04   	 269.58		  1.79   	  -5.09		
 97.66   	  2.44   	 47.08   	 -35.61		 48.12   	 218.72		  1.77   	 -10.17		
100.40   	 -2.44   	 46.94   	 -35.61		 48.99   	 188.20		  1.73   	 -10.17		
103.45   	 -8.54   	 46.80   	 -35.61		 49.75   	 167.85		  1.69   	 -10.17		
106.81   	-15.87   	 46.65   	 -45.78		 50.42   	 178.03		  1.65   	 -15.26		
113.22   	-32.35   	 46.47   	 -45.78		 51.13   	 178.03		  1.59   	 -15.26		
116.88   	-41.81   	 46.29   	 -40.69		 51.84   	 178.03		  1.53   	 -15.26		
121.15   	-52.19   	 46.12   	 -40.69		 52.55   	 193.29		  1.46   	 -15.26		
126.04   	-64.09   	 45.96   	 -35.61		 53.33   	 208.54		  1.40   	 -15.26		
130.31   	-77.21   	 45.82   	 -25.43		 54.16   	 188.20		  1.34   	 -15.26		
134.28   	-90.94   	 45.72   	 -25.43		 54.91   	 183.11		  1.28   	 -10.17		
137.02   	-104.37   	 45.62   	 -20.35		 55.65   	 172.94		  1.24   	 -15.26		
139.77   	-116.58   	 45.53   	 -20.35		 56.34   	 162.77		  1.18   	 -10.17		
142.21   	-128.48   	 45.45   	 -10.17		 56.99   	 142.42		  1.14   	  -5.09		
144.35   	-140.08   	 45.41   	 -10.17		 57.56   	 137.33		  1.12   	 -10.17		
146.18   	-152.59   	 45.37   	 -10.17		 58.11   	 132.25		  1.08   	  -5.09		
147.40   	-165.71   	 45.33   	 -10.17		 58.64   	 122.07		  1.06   	 -10.17		
148.01   	-179.14   	 45.29   	  -5.09		 59.12   	 122.07		  1.02   	 -10.17		
148.32   	-192.26   	 45.27(D)	   0.00		 59.61   	 127.16		  0.98   	 -10.17		
148.01   	-204.47   	 45.27   	   5.09		 60.12   	 132.25		  0.94   	 -10.17		
146.48   	-216.37   	 45.29   	  15.26		 60.65   	 137.33		  0.90   	 -10.17		
143.43   	-227.36   	 45.35   	  35.61		 61.20   	 142.42		  0.85   	 -15.26		
138.55   	-237.12   	 45.49   	  55.95		 61.77   	 147.51		  0.79   	 -10.17		
132.14   	-245.97   	 45.72   	  91.56		 62.36   	 152.59		  0.75   	 -10.17		
124.21   	-252.99   	 46.08   	 127.16		 62.97   	 162.77		  0.71   	 -10.17		
115.05   	-258.79   	 46.59   	 178.03		 63.62   	 157.68		  0.67   	  -5.09		
104.37   	-263.37   	 47.30   	 213.63		 64.25   	 152.59		  0.65   	   0.00		
 92.77   	-267.03   	 48.16   	 259.41		 64.86   	 152.59		  0.65   	  -5.09		
 80.87   	-268.86   	 49.20   	 289.93		 65.47   	 127.16		  0.63   	   0.00		
 69.27   	-269.47   	 50.36   	 300.10		 65.98   	 116.99		  0.63   	   5.09		
 59.20   	-268.55   	 51.56   	 310.27		 66.45   	 111.90		  0.65   	  10.17		
 50.05   	-267.94   	 52.80   	 300.10		 66.90   	  91.56		  0.69   	  10.17		
 41.50   	-268.86   	 54.00   	 274.67		 67.26   	  66.12		  0.73   	  10.17		
 32.65   	-272.22   	 55.10   	 244.15		 67.53   	  40.69		  0.77   	   5.09		
 24.11   	-278.63   	 56.07   	 203.46		 67.69   	  20.35		  0.79   	  15.26		
 15.87   	-287.48   	 56.89   	 167.85		 67.77(S)	  -5.09		  0.85   	  10.17		
  8.85   	-297.55   	 57.56   	 127.16		 67.75   	 -40.69		  0.90   	  15.26		
  3.36   	-307.31   	 58.07   	 106.82		 67.59   	 -61.04		  0.96   	   5.09		
 -0.92   	-316.47   	 58.49   	  81.38		 67.34   	 -76.30		  0.98   	  10.17		
 -4.27   	-324.10   	 58.82   	  81.38		 67.04   	-101.73		  1.02   	  10.17		
 -7.63   	-330.51   	 59.15   	  81.38		 66.63   	-137.33		  1.06   	  10.17		
-10.68   	-335.39   	 59.47   	  91.56		 66.08   	-162.77		  1.10   	  10.17		
-13.12   	-338.75   	 59.84   	 111.90		 65.43   	-183.11		  1.14   	  15.26		
-14.95   	-340.27   	 60.28   	 142.42		 64.70   	-228.89		  1.20   	   5.09		
-16.48   	-340.58   	 60.85   	 162.77		 63.78   	-264.50		  1.22   	  10.17		
-17.70   	-339.66   	 61.51   	 183.11		 62.73   	-279.75		  1.26   	  15.26		
-18.62   	-339.05   	 62.24   	 198.37		 61.61   	-310.27		  1.32   	  15.26		
-19.23   	-338.13   	 63.03   	 213.63		 60.37   	-361.14		  1.38   	  10.17		
-19.53   	-338.13   	 63.89   	 208.54		 58.92   	-396.74		  1.42   	  15.26		
-20.14   	-338.44   	 64.72   	 198.37		 57.33   	-427.26		  1.49   	  20.35		
-20.45   	-339.66   	 65.51   	 183.11		 55.63   	-483.21		  1.57   	  15.26		
-20.75   	-342.10   	 66.25   	 162.77		 53.69   	-539.16		  1.63   	  20.35		
-20.14   	-346.07   	 66.90   	 132.25		 51.54   	-579.86		  1.71   	  25.43		
-19.23   	-350.65   	 67.43   	  96.64		 49.22   	-600.20		  1.81   	  30.52		
-18.01   	-354.92   	 67.81   	  76.30		 46.82   	-615.46		  1.93   	  25.43		
-17.09   	-358.58   	 68.12   	  45.78		 44.35   	-620.55		  2.03   	  30.52		
-17.09   	-360.72   	 68.30   	  30.52		 41.87   	-605.29		  2.16   	  30.52		
-17.40   	-361.63   	 68.42   	  10.17		 39.45   	-564.60		  2.28   	  25.43		
-17.09   	-361.63   	 68.46(S)	   0.00		 37.19   	-539.16		  2.38   	  25.43		
-16.17   	-361.33   	 68.46   	  -5.09		 35.04   	-508.65		  2.48   	  15.26		
-14.65   	-361.02   	 68.44   	 -10.17		 33.00   	-473.04		  2.54   	  15.26		
-13.12   	-359.80   	 68.40   	 -10.17		 31.11   	-432.35		  2.60   	   5.09		
-12.51   	-356.45   	 68.36   	 -10.17		 29.38   	-412.00		  2.62   	   5.09		
-13.12   	-347.60   	 68.32   	 -10.17		 27.73   	-401.83		  2.64   	   5.09		
-15.26   	-329.90   	 68.28   	 -15.26		 26.12   	-391.66		  2.67   	   5.09		
-17.70   	-304.26   	 68.22   	 -25.43		 24.56   	-381.48		  2.69   	   5.09		
-20.45   	-273.74   	 68.12   	 -35.61		 23.03   	-386.57		  2.71   	   0.00		
-21.36   	-244.75   	 67.98   	 -50.86		 21.49   	-386.57		  2.71   	   5.09		
-19.53   	-221.86   	 67.77   	 -71.21		 19.94   	-376.40		  2.73   	  -5.09		
-14.65   	-202.33   	 67.49   	 -86.47		 18.43   	-356.05		  2.71   	   0.00		
 -7.02   	-179.14   	 67.14   	-106.82		 17.01   	-340.79		  2.71   	   5.09		
  0.92   	-146.79   	 66.71   	-122.07		 15.65   	-335.71		  2.73   	   0.00		
  6.41   	-105.29   	 66.23   	-137.33		 14.30   	-330.62		  2.73   	   0.00		
  7.32   	-61.65   	 65.68   	-172.94		 12.98   	-335.71		  2.73   	   0.00		
  2.75   	-11.90   	 64.98   	-167.85		 11.64   	-325.53		  2.73   	  -5.09		
  4.27   	-18.01   	 64.31   	-167.85		 10.34   	-305.19		  2.71   	   0.00		
 10.99   	-42.11   	 63.64   	-157.68		  9.11   	-279.75		  2.71   	  -5.09		
 20.45   	-77.82   	 63.01   	-152.59		  8.00   	-269.58		  2.69   	  -5.09		
 28.99   	-116.88   	 62.40   	-137.33		  6.92   	-249.24		  2.67   	   0.00		
 32.96   	-154.11   	 61.85   	-127.16		  5.92   	-223.80		  2.67   	  -5.09		
 31.74   	-188.60   	 61.34   	-111.90		  5.03   	-203.46		  2.64   	  -5.09		
 24.72   	-222.17   	 60.89   	-101.73		  4.21   	-178.03		  2.62   	   0.00		
 12.82   	-256.04   	 60.49   	 -81.38		  3.50   	-142.42		  2.62   	   0.00		
 -1.53   	-287.48   	 60.16   	 -66.12		  2.93   	-106.82		  2.62   	   0.00		
-15.87   	-310.67   	 59.90   	 -61.04		  2.50   	 -61.04		  2.62   	   5.09		
-25.63   	-320.74   	 59.65   	 -55.95		  2.26   	 -30.52		  2.64   	  10.17		
-29.30   	-318.60   	 59.43   	 -55.95		  2.14   	   0.00		  2.69   	  15.26		
-27.77   	-310.67   	 59.21   	 -61.04		  2.14   	  15.26		  2.75   	  10.17		
-25.02   	-303.34   	 58.96   	 -66.12		  2.20   	  20.35		  2.79   	  15.26		
-24.11   	-298.77   	 58.70   	 -71.21		  2.28   	  20.35		  2.85   	  20.35		
-25.94   	-295.41   	 58.41   	 -86.47		  2.36   	   5.09		  2.93   	  25.43		
-28.99   	-289.92   	 58.07   	 -91.56		  2.38   	  -5.09		  3.03   	  20.35		
-30.82   	-281.07   	 57.70   	 -96.64		  2.36   	 -10.17		  3.11   	  20.35		
-31.13   	-269.78   	 57.31   	-101.73		  2.32   	 -30.52		  3.19   	  20.35		
-30.52   	-259.70   	 56.91   	-106.82		  2.20   	 -40.69		  3.28   	  25.43		
-30.82   	-252.08   	 56.48   	-101.73		  2.03   	 -45.78		  3.38   	  20.35		
-34.79   	-249.02   	 56.07   	 -91.56		  1.85   	 -55.95		  3.46   	  20.35		
-43.64   	-250.24   	 55.71   	 -91.56		  1.63   	 -71.21		  3.54   	  20.35		
-54.02   	-255.74   	 55.34   	 -81.38		  1.34   	 -61.04		  3.62   	  15.26		
-37.84   	-254.21   	 55.02   	 -76.30		  1.10   	 -50.86		  3.68   	  10.17		
  7.02   	-225.22   	 54.71   	 -66.12		  0.90   	 -25.43		  3.72   	  10.17		
 70.19   	-165.41   	 54.45   	 -61.04		  0.79(D)	  15.26		  3.76   	  10.17		
119.63   	-79.35   	 54.20   	 -55.95		  0.85   	  50.86		  3.80   	   5.09		
110.17   	 11.29   	 53.98   	 -55.95		  1.06   	  81.38		  3.83(A)	  -5.09		
 11.90   	 78.13   	 53.75   	 -50.86		  1.38   	 122.07		  3.80   	  -5.09		
-172.42   	101.93   	 53.55   	 -61.04		  1.87   	 162.77		  3.78   	  -5.09		
-403.44   	 75.38   	 53.31   	 -55.95		  2.52   	 183.11		  3.76   	 -10.17		
-619.51   	 -0.61   	 53.08   	 -61.04		  3.26   	 172.94		  3.72   	 -10.17		
-767.21   	-122.07   	 52.84   	 -61.04		  3.95   	 162.77		  3.68   	 -15.26		
-827.64   	-278.93   	 52.59   	 -66.12		  4.60   	 132.25		  3.62   	 -15.26		
-810.55   	-445.25   	 52.33   	 -61.04		  5.13   	  81.38		  3.56   	 -10.17		
-736.39   	-580.44   	 52.09   	 -61.04		  5.45   	  35.61		  3.52   	 -20.35		
-623.17   	-648.50(R)	 51.84   	 -61.04		  5.60(E)	  -5.09		  3.44   	 -15.26		
-484.01   	-636.29   	 51.60   	 -61.04		  5.57   	 -40.69		  3.38   	 -20.35		
-329.28   	-559.39   	 51.35   	 -55.95		  5.41   	 -45.78		  3.30   	 -20.35		
-177.61   	-448.30   	 51.13   	 -50.86		  5.23   	 -30.52		  3.21   	 -25.43		
-54.02   	-332.03   	 50.93   	 -45.78		  5.11   	 -15.26		  3.11   	 -35.61		
 24.11   	-234.38   	 50.74   	 -50.86		  5.05   	  10.17		  2.97   	 -35.61		
 54.02   	-173.95   	 50.54   	 -40.69		  5.09   	  45.78		  2.83   	 -40.69		
 50.66   	-159.30   	 50.38   	 -45.78		  5.27   	  76.30		  2.67   	 -35.61		
 37.23   	-180.05   	 50.19   	 -40.69		  5.57   	 101.73		  2.52   	 -35.61		
 31.13   	-209.66   	 50.03   	 -40.69		  5.98   	 162.77		  2.38   	 -40.69		
 37.23   	-224.91   	 49.87   	 -40.69		  6.63   	 244.15		  2.22   	 -30.52		
 50.05   	-219.12   	 49.70   	 -40.69		  7.61   	 406.92		  2.10   	 -30.52		
 64.39   	-192.87   	 49.54   	 -40.69		  9.24   	 478.13		  1.97   	 -15.26		
 64.70   	-192.26   	 49.38   	 -35.61		 11.15   	 513.73		  1.91   	 -10.17		
 64.39   	-196.53   	 49.24   	 -40.69		 13.20   	 478.13		  1.87   	 -10.17		
 65.31   	-198.06   	 49.07   	 -40.69		 15.12   	 417.09		  1.83   	   0.00		
 67.75   	-195.62   	 48.91   	 -45.78		 16.79   	 412.00		  1.83   	  -5.09		
 70.19   	-191.35   	 48.73   	 -40.69		 18.43   	 422.18		  1.81   	   0.00		
 71.72   	-187.68   	 48.57   	 -40.69		 20.12   	 432.35		  1.81   	   0.00		
 72.33   	-184.94   	 48.40   	 -45.78		 21.85   	 447.61		  1.81   	   0.00		
 72.33   	-182.50   	 48.22   	 -40.69		 23.64   	 483.21		  1.81   	   0.00		
 72.63   	-179.44   	 48.06   	 -40.69		 25.57   	 539.16		  1.81   	   5.09		
 73.55   	-174.56   	 47.89   	 -35.61		 27.73   	 569.68		  1.83   	   0.00		
 75.07   	-167.24   	 47.75   	 -35.61		 30.01   	 600.20		  1.83   	  -5.09		
 77.21   	-158.39   	 47.61   	 -35.61		 32.41   	 615.46		  1.81   	  -5.09		
 79.65   	-149.23   	 47.47   	 -30.52		 34.87   	 600.20		  1.79   	  -5.09		
 81.79   	-141.30   	 47.34   	 -30.52		 37.27   	 569.68		  1.77   	  -5.09		
 84.53   	-134.89   	 47.22   	 -30.52		 39.55   	 544.25		  1.75   	 -10.17		
 87.28   	-129.09   	 47.10   	 -30.52		 41.73   	 488.30		  1.71   	  -5.09		
 90.64   	-123.90   	 46.98   	 -25.43		 43.68   	 437.43		  1.69   	 -10.17		
 94.60   	-118.71   	 46.88   	 -30.52		 45.43   	 366.22		  1.65   	 -10.17		
 98.88   	-113.53   	 46.75   	 -30.52		 46.90   	 305.19		  1.61   	 -15.26		
102.84   	-109.56   	 46.63   	 -30.52		 48.12   	 244.15		  1.55   	 -15.26		
106.51   	-107.12   	 46.51   	 -35.61		 49.09   	 203.46		  1.49   	 -15.26		
109.86   	-105.90   	 46.37   	 -35.61		 49.91   	 167.85		  1.42   	 -15.26		
112.92   	-105.59   	 46.23   	 -35.61		 50.58   	 142.42		  1.36   	 -20.35		
116.58   	-105.29   	 46.08   	 -45.78		 51.15   	 172.94		  1.28   	 -20.35		
125.43   	-108.34   	 45.90   	 -40.69		 51.84   	 178.03		  1.20   	 -20.35		
129.39   	-112.30   	 45.74   	 -45.78		 52.55   	 193.29		  1.12   	 -20.35		
132.75   	-116.58   	 45.55   	 -35.61		 53.33   	 203.46		  1.04   	 -20.35		
135.19   	-119.32   	 45.41   	 -35.61		 54.14   	 208.54		  0.96   	 -15.26		
137.33   	-119.02   	 45.27   	 -25.43		 54.97   	 198.37		  0.90   	 -10.17		
139.77   	-115.05   	 45.17   	 -25.43		 55.77   	 183.11		  0.85   	 -15.26		
142.82   	-107.42   	 45.07   	 -20.35		 56.50   	 183.11		  0.79   	  -5.09		
146.48   	-97.66   	 44.98   	 -10.17		 57.23   	 162.77		  0.77   	 -10.17		
150.15   	-87.89   	 44.94   	 -15.26		 57.88   	 147.51		  0.73   	   0.00		
153.20   	-79.96   	 44.88   	  -5.09		 58.47   	 147.51		  0.73   	   0.00		
155.64   	-75.68   	 44.86   	 -10.17		 59.06   	 137.33		  0.73   	   0.00		
156.86   	-74.16   	 44.82   	  -5.09		 59.61   	 127.16		  0.73   	  -5.09		
157.17   	-73.85   	 44.80(D)	   0.00		 60.12   	 127.16		  0.71   	   0.00		
156.86   	-72.63   	 44.80   	   0.00		 60.63   	 137.33		  0.71   	  -5.09		
155.64   	-70.19   	 44.80   	  10.17		 61.18   	 137.33		  0.69   	  -5.09		
153.50   	-67.44   	 44.84   	  20.35		 61.73   	 152.59		  0.67   	  -5.09		
149.54   	-64.39   	 44.92   	  40.69		 62.34   	 162.77		  0.65   	  -5.09		
143.43   	-62.26   	 45.09   	  66.12		 62.99   	 157.68		  0.63   	 -10.17		
135.19   	-59.51   	 45.35   	 101.73		 63.62   	 167.85		  0.59   	  -5.09		
125.43   	-55.85   	 45.76   	 137.33		 64.29   	 162.77		  0.57   	  -5.09		
115.05   	-50.35   	 46.31   	 188.20		 64.94   	 157.68		  0.55   	  -5.09		
104.37   	-43.33   	 47.06   	 228.89		 65.57   	 152.59		  0.53   	  -5.09		
 93.99   	-35.10   	 47.98   	 269.58		 66.18   	 152.59		  0.51   	   0.00		
 83.31   	-25.94   	 49.05   	 295.01		 66.80   	 137.33		  0.51   	   0.00		
 72.63   	-17.09   	 50.23   	 315.36		 67.34   	 116.99		  0.51   	   0.00		
 61.65   	 -8.85   	 51.50   	 310.27		 67.81   	 106.82		  0.51   	   5.09		
 51.27   	 -2.44   	 52.74   	 300.10		 68.24   	  91.56		  0.53   	   5.09		
 41.20   	  2.75   	 53.94   	 274.67		 68.61   	  61.04		  0.55   	  10.17		
